index_x,Student ID,Risk Group,Risk Score,Risk Prediction,Feature,Magnitude,Rank
3,5BC8WQBB,6+ years enrolled,0.9924121205929158,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.029629103063735365,5
4,R2UFAWM5,4 to 6 years enrolled,0.9942924815070056,1,years_enrolled > 3.42,0.5612008205264657,1
4,R2UFAWM5,4 to 6 years enrolled,0.9942924815070056,1,course_pass_rate <= 0.75,0.15286428240451017,2
4,R2UFAWM5,4 to 6 years enrolled,0.9942924815070056,1,GPA_last_3_sem <= 2.29,0.10484799203011165,3
4,R2UFAWM5,4 to 6 years enrolled,0.9942924815070056,1,is_justice_academy=0,0.07633110032452355,4
4,R2UFAWM5,4 to 6 years enrolled,0.9942924815070056,1,has_associates_degree=0,0.07061762905756566,5
5,80GLNNAC,6+ years enrolled,0.9921332864866993,1,years_enrolled > 3.42,0.5628640518162307,1
5,80GLNNAC,6+ years enrolled,0.9921332864866993,1,is_justice_academy=0,0.07230122581969307,2
5,80GLNNAC,6+ years enrolled,0.9921332864866993,1,has_associates_degree=0,0.06974213456243572,3
5,80GLNNAC,6+ years enrolled,0.9921332864866993,1,0.75 < course_pass_rate <= 0.86,-0.023380769399417457,4
5,80GLNNAC,6+ years enrolled,0.9921332864866993,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.024325665465737865,5
6,03086GP8,4 to 6 years enrolled,0.9889011770828076,1,years_enrolled > 3.42,0.5641438388919505,1
6,03086GP8,4 to 6 years enrolled,0.9889011770828076,1,GPA_last_3_sem <= 2.29,0.10532223507677081,2
6,03086GP8,4 to 6 years enrolled,0.9889011770828076,1,is_justice_academy=0,0.09061799918783253,3
6,03086GP8,4 to 6 years enrolled,0.9889011770828076,1,has_associates_degree=0,0.07528321703712015,4
6,03086GP8,4 to 6 years enrolled,0.9889011770828076,1,stdev_credits_sem <= 2.83,0.026833180508809267,5
7,4W4TPUKZ,4 to 6 years enrolled,0.9941420327013214,1,years_enrolled > 3.42,0.5618444509450404,1
7,4W4TPUKZ,4 to 6 years enrolled,0.9941420327013214,1,is_justice_academy=0,0.07715802898011485,2
7,4W4TPUKZ,4 to 6 years enrolled,0.9941420327013214,1,has_associates_degree=0,0.07305000218520134,3
7,4W4TPUKZ,4 to 6 years enrolled,0.9941420327013214,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.024089859125001726,4
7,4W4TPUKZ,4 to 6 years enrolled,0.9941420327013214,1,GPA_semester_stdev <= 0.39,-0.03689017384033196,5
8,71457PQD,4 to 6 years enrolled,0.9923203259984416,1,years_enrolled > 3.42,0.5583483527681876,1
8,71457PQD,4 to 6 years enrolled,0.9923203259984416,1,is_justice_academy=0,0.08320701729181441,2
8,71457PQD,4 to 6 years enrolled,0.9923203259984416,1,has_associates_degree=0,0.07384016926806246,3
8,71457PQD,4 to 6 years enrolled,0.9923203259984416,1,stdev_credits_sem <= 2.83,0.025720334566916764,4
8,71457PQD,4 to 6 years enrolled,0.9923203259984416,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.027209947549099965,5
9,CT8YPB4B,4 to 6 years enrolled,0.9928490172014958,1,years_enrolled > 3.42,0.5596138937133626,1
9,CT8YPB4B,4 to 6 years enrolled,0.9928490172014958,1,has_associates_degree=0,0.0797561269764333,2
9,CT8YPB4B,4 to 6 years enrolled,0.9928490172014958,1,is_justice_academy=0,0.06966103322350406,3
9,CT8YPB4B,4 to 6 years enrolled,0.9928490172014958,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.027664478164575106,4
9,CT8YPB4B,4 to 6 years enrolled,0.9928490172014958,1,GPA_last_sem > 3.33,-0.03041545457003854,5
10,A6SCQ89R,0 to 4 years enrolled,0.7223854187547133,1,years_enrolled > 3.42,0.5616512513954162,1
10,A6SCQ89R,0 to 4 years enrolled,0.7223854187547133,1,course_pass_rate <= 0.75,0.15208795273106288,2
10,A6SCQ89R,0 to 4 years enrolled,0.7223854187547133,1,is_justice_academy=0,0.08076129959212684,3
10,A6SCQ89R,0 to 4 years enrolled,0.7223854187547133,1,has_associates_degree=0,0.07784660607416881,4
10,A6SCQ89R,0 to 4 years enrolled,0.7223854187547133,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.02397764622473561,5
11,FYIZYTCL,0 to 4 years enrolled,0.34716980650118934,0,1.75 < years_enrolled <= 2.42,0.23315764183451287,1
11,FYIZYTCL,0 to 4 years enrolled,0.34716980650118934,0,has_any_financial_aid=1,0.06361950170577459,2
11,FYIZYTCL,0 to 4 years enrolled,0.34716980650118934,0,IR_total_fa_awd_amt_sum > 0.00,0.048553566036551185,3
11,FYIZYTCL,0 to 4 years enrolled,0.34716980650118934,0,GPA_semester_stdev <= 0.39,0.03361192083291708,4
11,FYIZYTCL,0 to 4 years enrolled,0.34716980650118934,0,IR_total_grants_nb_awd_amt_sum > 0.00,0.027730519013972204,5
12,Q754NXZX,4 to 6 years enrolled,0.991081392952346,1,years_enrolled > 3.42,0.5569980376498659,1
12,Q754NXZX,4 to 6 years enrolled,0.991081392952346,1,GPA_last_3_sem <= 2.29,0.10941142284581402,2
12,Q754NXZX,4 to 6 years enrolled,0.991081392952346,1,is_justice_academy=0,0.07564312958105777,3
12,Q754NXZX,4 to 6 years enrolled,0.991081392952346,1,has_associates_degree=0,0.07250853369377161,4
12,Q754NXZX,4 to 6 years enrolled,0.991081392952346,1,1.59 < GPA_last_sem <= 2.70,0.02888501118280619,5
13,EZP44QF8,4 to 6 years enrolled,0.9923541292767923,1,years_enrolled > 3.42,0.5663698809292382,1
13,EZP44QF8,4 to 6 years enrolled,0.9923541292767923,1,GPA_last_3_sem <= 2.29,0.10736934010497111,2
13,EZP44QF8,4 to 6 years enrolled,0.9923541292767923,1,is_justice_academy=0,0.07489662011049694,3
13,EZP44QF8,4 to 6 years enrolled,0.9923541292767923,1,has_associates_degree=0,0.07154825429247452,4
13,EZP44QF8,4 to 6 years enrolled,0.9923541292767923,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.026806990002542233,5
14,6UDRUDP4,0 to 4 years enrolled,0.9443322992307058,1,years_enrolled > 3.42,0.5612970805935441,1
14,6UDRUDP4,0 to 4 years enrolled,0.9443322992307058,1,GPA_last_3_sem <= 2.29,0.10170069914455987,2
14,6UDRUDP4,0 to 4 years enrolled,0.9443322992307058,1,has_associates_degree=0,0.07138068026515135,3
14,6UDRUDP4,0 to 4 years enrolled,0.9443322992307058,1,is_justice_academy=0,0.07084335308024721,4
14,6UDRUDP4,0 to 4 years enrolled,0.9443322992307058,1,GPA_last_sem <= 1.59,0.02753320702328144,5
15,AN14BXWK,4 to 6 years enrolled,0.992051207241694,1,years_enrolled > 3.42,0.5649916038166045,1
15,AN14BXWK,4 to 6 years enrolled,0.992051207241694,1,GPA_last_3_sem <= 2.29,0.10655750739386237,2
15,AN14BXWK,4 to 6 years enrolled,0.992051207241694,1,is_justice_academy=0,0.09003659556603345,3
15,AN14BXWK,4 to 6 years enrolled,0.992051207241694,1,has_associates_degree=0,0.07530996273457881,4
15,AN14BXWK,4 to 6 years enrolled,0.992051207241694,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.029689537873835943,5
16,LPAEDDFJ,4 to 6 years enrolled,0.9789507634814602,1,years_enrolled > 3.42,0.559308085994347,1
16,LPAEDDFJ,4 to 6 years enrolled,0.9789507634814602,1,course_pass_rate <= 0.75,0.1545807060678021,2
16,LPAEDDFJ,4 to 6 years enrolled,0.9789507634814602,1,is_justice_academy=0,0.07807741427767709,3
16,LPAEDDFJ,4 to 6 years enrolled,0.9789507634814602,1,has_associates_degree=0,0.07235186766647882,4
16,LPAEDDFJ,4 to 6 years enrolled,0.9789507634814602,1,GPA_semester_stdev <= 0.39,-0.035626788832395936,5
17,LU34MMES,6+ years enrolled,0.9932541613791765,1,years_enrolled > 3.42,0.5601399584038349,1
17,LU34MMES,6+ years enrolled,0.9932541613791765,1,is_justice_academy=0,0.08456426797842449,2
17,LU34MMES,6+ years enrolled,0.9932541613791765,1,has_associates_degree=0,0.07294614394432138,3
17,LU34MMES,6+ years enrolled,0.9932541613791765,1,GPA_semester_stdev <= 0.39,-0.030549443697302867,4
17,LU34MMES,6+ years enrolled,0.9932541613791765,1,GPA_last_sem > 3.33,-0.03482670891460555,5
18,1DTMYPVW,6+ years enrolled,0.9895283176174517,1,years_enrolled > 3.42,0.5577374177133544,1
18,1DTMYPVW,6+ years enrolled,0.9895283176174517,1,has_associates_degree=0,0.07922124420245931,2
18,1DTMYPVW,6+ years enrolled,0.9895283176174517,1,is_justice_academy=0,0.07053176219028595,3
18,1DTMYPVW,6+ years enrolled,0.9895283176174517,1,GPA_last_sem <= 1.59,0.03230072977155765,4
18,1DTMYPVW,6+ years enrolled,0.9895283176174517,1,GPA_semester_stdev <= 0.39,-0.027752891283741612,5
19,J4O0NLP0,4 to 6 years enrolled,0.994577568613756,1,years_enrolled > 3.42,0.5660219534068429,1
19,J4O0NLP0,4 to 6 years enrolled,0.994577568613756,1,is_justice_academy=0,0.0817189641230919,2
19,J4O0NLP0,4 to 6 years enrolled,0.994577568613756,1,has_associates_degree=0,0.07489255136316952,3
19,J4O0NLP0,4 to 6 years enrolled,0.994577568613756,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.022785460486463786,4
19,J4O0NLP0,4 to 6 years enrolled,0.994577568613756,1,GPA_semester_stdev <= 0.39,-0.02764336807480763,5
20,HEYFZR43,4 to 6 years enrolled,0.9932450065412091,1,years_enrolled > 3.42,0.5538712606958262,1
20,HEYFZR43,4 to 6 years enrolled,0.9932450065412091,1,course_pass_rate <= 0.75,0.1498082395757484,2
20,HEYFZR43,4 to 6 years enrolled,0.9932450065412091,1,has_associates_degree=0,0.07813040447070756,3
20,HEYFZR43,4 to 6 years enrolled,0.9932450065412091,1,is_justice_academy=0,0.07388870181460512,4
20,HEYFZR43,4 to 6 years enrolled,0.9932450065412091,1,stdev_credits_sem <= 2.83,0.030296111944563962,5
21,YR188PQ9,0 to 4 years enrolled,0.25103977177390857,0,years_enrolled <= 1.75,0.32552817864463446,1
21,YR188PQ9,0 to 4 years enrolled,0.25103977177390857,0,course_pass_rate > 0.95,0.08931448777979346,2
21,YR188PQ9,0 to 4 years enrolled,0.25103977177390857,0,IR_total_fa_awd_amt_sum > 0.00,0.06701245342088452,3
21,YR188PQ9,0 to 4 years enrolled,0.25103977177390857,0,has_any_financial_aid=1,0.043051097060407315,4
21,YR188PQ9,0 to 4 years enrolled,0.25103977177390857,0,GPA_semester_stdev <= 0.39,0.04086335297935163,5
22,887L0D3U,4 to 6 years enrolled,0.9923267985013611,1,years_enrolled > 3.42,0.5650933758244188,1
22,887L0D3U,4 to 6 years enrolled,0.9923267985013611,1,is_justice_academy=0,0.07489915280380514,2
22,887L0D3U,4 to 6 years enrolled,0.9923267985013611,1,has_associates_degree=0,0.07180901529605366,3
22,887L0D3U,4 to 6 years enrolled,0.9923267985013611,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.026660364047270603,4
22,887L0D3U,4 to 6 years enrolled,0.9923267985013611,1,GPA_semester_stdev <= 0.39,-0.03033022956966279,5
23,M83EXFPH,0 to 4 years enrolled,0.5263986522564966,1,GPA_last_3_sem <= 2.29,0.0939734968135725,1
23,M83EXFPH,0 to 4 years enrolled,0.5263986522564966,1,is_justice_academy=0,0.07591864037200197,2
23,M83EXFPH,0 to 4 years enrolled,0.5263986522564966,1,has_associates_degree=0,0.07165855481756081,3
23,M83EXFPH,0 to 4 years enrolled,0.5263986522564966,1,2.42 < years_enrolled <= 3.42,0.07054227741303488,4
23,M83EXFPH,0 to 4 years enrolled,0.5263986522564966,1,0.75 < course_pass_rate <= 0.86,-0.026295385213236572,5
24,V32MD913,0 to 4 years enrolled,0.6980112490291045,1,years_enrolled > 3.42,0.5691598137660814,1
24,V32MD913,0 to 4 years enrolled,0.6980112490291045,1,is_justice_academy=0,0.08799545160138814,2
24,V32MD913,0 to 4 years enrolled,0.6980112490291045,1,has_associates_degree=0,0.0759247778821287,3
24,V32MD913,0 to 4 years enrolled,0.6980112490291045,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.03001839658593776,4
24,V32MD913,0 to 4 years enrolled,0.6980112490291045,1,GPA_last_sem > 3.33,-0.03077667549515608,5
25,39NX2MHH,0 to 4 years enrolled,0.2658795683636905,0,1.75 < years_enrolled <= 2.42,0.2469283475362642,1
25,39NX2MHH,0 to 4 years enrolled,0.2658795683636905,0,IR_total_fa_awd_amt_sum > 0.00,0.053137248350239884,2
25,39NX2MHH,0 to 4 years enrolled,0.2658795683636905,0,has_any_financial_aid=1,0.052479276515818775,3
25,39NX2MHH,0 to 4 years enrolled,0.2658795683636905,0,Credits+Hours Semester Completed Perf SUM > 86.50,0.03775216558108437,4
25,39NX2MHH,0 to 4 years enrolled,0.2658795683636905,0,GPA_semester_stdev <= 0.39,0.03738633458814386,5
26,3OJLLPRS,4 to 6 years enrolled,0.9929848656360462,1,years_enrolled > 3.42,0.5567677891204637,1
26,3OJLLPRS,4 to 6 years enrolled,0.9929848656360462,1,is_justice_academy=0,0.08419949908331648,2
26,3OJLLPRS,4 to 6 years enrolled,0.9929848656360462,1,has_associates_degree=0,0.0750012954464441,3
26,3OJLLPRS,4 to 6 years enrolled,0.9929848656360462,1,stdev_credits_sem <= 2.83,0.02702374062976038,4
26,3OJLLPRS,4 to 6 years enrolled,0.9929848656360462,1,1.59 < GPA_last_sem <= 2.70,0.02132719392002169,5
27,H2JPWWB4,0 to 4 years enrolled,0.38410333291571214,0,1.75 < years_enrolled <= 2.42,0.23449197669177724,1
27,H2JPWWB4,0 to 4 years enrolled,0.38410333291571214,0,IR_total_fa_awd_amt_sum > 0.00,0.06466471088787512,2
27,H2JPWWB4,0 to 4 years enrolled,0.38410333291571214,0,0.86 < course_pass_rate <= 0.95,0.06119224098353215,3
27,H2JPWWB4,0 to 4 years enrolled,0.38410333291571214,0,has_any_financial_aid=1,0.060266265865731125,4
27,H2JPWWB4,0 to 4 years enrolled,0.38410333291571214,0,IR_total_grants_nb_awd_amt_sum > 0.00,0.04252780117964215,5
28,3S5J05C3,4 to 6 years enrolled,0.8765646545646816,1,years_enrolled > 3.42,0.5630557551612653,1
28,3S5J05C3,4 to 6 years enrolled,0.8765646545646816,1,GPA_last_3_sem <= 2.29,0.09600971290806981,2
28,3S5J05C3,4 to 6 years enrolled,0.8765646545646816,1,is_justice_academy=0,0.07981003944482315,3
28,3S5J05C3,4 to 6 years enrolled,0.8765646545646816,1,has_associates_degree=0,0.07443345691390839,4
28,3S5J05C3,4 to 6 years enrolled,0.8765646545646816,1,1.59 < GPA_last_sem <= 2.70,0.03917622443103464,5
29,O32HX9ME,0 to 4 years enrolled,0.42089453363615004,0,1.75 < years_enrolled <= 2.42,0.23266019472282273,1
29,O32HX9ME,0 to 4 years enrolled,0.42089453363615004,0,has_any_financial_aid=1,0.06300574544874116,2
29,O32HX9ME,0 to 4 years enrolled,0.42089453363615004,0,IR_total_fa_awd_amt_sum > 0.00,0.050792819178173756,3
29,O32HX9ME,0 to 4 years enrolled,0.42089453363615004,0,GPA_semester_stdev <= 0.39,0.03583082703716141,4
29,O32HX9ME,0 to 4 years enrolled,0.42089453363615004,0,IR_total_grants_nb_awd_amt_sum > 0.00,0.030504677066812064,5
30,X88COF59,4 to 6 years enrolled,0.9900529428761862,1,years_enrolled > 3.42,0.55686340102686,1
30,X88COF59,4 to 6 years enrolled,0.9900529428761862,1,GPA_last_3_sem <= 2.29,0.1089535573892378,2
30,X88COF59,4 to 6 years enrolled,0.9900529428761862,1,is_justice_academy=0,0.07475907497331562,3
30,X88COF59,4 to 6 years enrolled,0.9900529428761862,1,has_associates_degree=0,0.0738937407597419,4
30,X88COF59,4 to 6 years enrolled,0.9900529428761862,1,1.59 < GPA_last_sem <= 2.70,0.029360654879426337,5
31,H39IQ6EA,6+ years enrolled,0.9930050985902282,1,years_enrolled > 3.42,0.5637987201625041,1
31,H39IQ6EA,6+ years enrolled,0.9930050985902282,1,is_justice_academy=0,0.07438538011589976,2
31,H39IQ6EA,6+ years enrolled,0.9930050985902282,1,has_associates_degree=0,0.07151788107605156,3
31,H39IQ6EA,6+ years enrolled,0.9930050985902282,1,GPA_semester_stdev <= 0.39,-0.029078943857791358,4
31,H39IQ6EA,6+ years enrolled,0.9930050985902282,1,GPA_last_sem > 3.33,-0.03373840336683639,5
32,WGHMAEDT,4 to 6 years enrolled,0.9153512267973903,1,years_enrolled > 3.42,0.556452163729102,1
32,WGHMAEDT,4 to 6 years enrolled,0.9153512267973903,1,course_pass_rate <= 0.75,0.1519116911293106,2
32,WGHMAEDT,4 to 6 years enrolled,0.9153512267973903,1,is_justice_academy=0,0.0728915657936553,3
32,WGHMAEDT,4 to 6 years enrolled,0.9153512267973903,1,has_associates_degree=0,0.07236361211611789,4
32,WGHMAEDT,4 to 6 years enrolled,0.9153512267973903,1,stdev_credits_sem <= 2.83,0.024484476212638873,5
33,0PS5T2W1,0 to 4 years enrolled,0.7120124387147875,1,GPA_last_3_sem <= 2.29,0.11664256132153404,1
33,0PS5T2W1,0 to 4 years enrolled,0.7120124387147875,1,has_associates_degree=0,0.08049546655441096,2
33,0PS5T2W1,0 to 4 years enrolled,0.7120124387147875,1,is_justice_academy=0,0.08002379874798593,3
33,0PS5T2W1,0 to 4 years enrolled,0.7120124387147875,1,2.42 < years_enrolled <= 3.42,0.06905495853098778,4
33,0PS5T2W1,0 to 4 years enrolled,0.7120124387147875,1,Credits+Hours Semester Completed Perf SUM <= 62.00,0.03831760333895613,5
34,0758MSV3,4 to 6 years enrolled,0.9932048314581396,1,years_enrolled > 3.42,0.56356895869901,1
34,0758MSV3,4 to 6 years enrolled,0.9932048314581396,1,GPA_last_3_sem <= 2.29,0.10236298202926487,2
34,0758MSV3,4 to 6 years enrolled,0.9932048314581396,1,is_justice_academy=0,0.07621516754600544,3
34,0758MSV3,4 to 6 years enrolled,0.9932048314581396,1,has_associates_degree=0,0.07474016786844816,4
34,0758MSV3,4 to 6 years enrolled,0.9932048314581396,1,2.70 < GPA_last_sem <= 3.33,-0.023380791056716182,5
35,77U37RMN,6+ years enrolled,0.9932450065412091,1,years_enrolled > 3.42,0.5542485186690056,1
35,77U37RMN,6+ years enrolled,0.9932450065412091,1,course_pass_rate <= 0.75,0.15282442902805451,2
35,77U37RMN,6+ years enrolled,0.9932450065412091,1,is_justice_academy=0,0.08269151246713521,3
35,77U37RMN,6+ years enrolled,0.9932450065412091,1,has_associates_degree=0,0.07377520229262956,4
35,77U37RMN,6+ years enrolled,0.9932450065412091,1,GPA_last_sem <= 1.59,0.03178337743120979,5
36,3SXY474B,6+ years enrolled,0.9921217718253711,1,years_enrolled > 3.42,0.5593997522934184,1
36,3SXY474B,6+ years enrolled,0.9921217718253711,1,has_associates_degree=0,0.07863354326019566,2
36,3SXY474B,6+ years enrolled,0.9921217718253711,1,is_justice_academy=0,0.068892922245868,3
36,3SXY474B,6+ years enrolled,0.9921217718253711,1,GPA_semester_stdev <= 0.39,-0.026737679686308895,4
36,3SXY474B,6+ years enrolled,0.9921217718253711,1,0.75 < course_pass_rate <= 0.86,-0.02721050647556651,5
37,TAUF2U1H,4 to 6 years enrolled,0.9912166620194199,1,years_enrolled > 3.42,0.5611601705642956,1
37,TAUF2U1H,4 to 6 years enrolled,0.9912166620194199,1,GPA_last_3_sem <= 2.29,0.09464711917013494,2
37,TAUF2U1H,4 to 6 years enrolled,0.9912166620194199,1,is_justice_academy=0,0.08176071964005205,3
37,TAUF2U1H,4 to 6 years enrolled,0.9912166620194199,1,has_associates_degree=0,0.0736708746082698,4
37,TAUF2U1H,4 to 6 years enrolled,0.9912166620194199,1,GPA_last_sem <= 1.59,0.02290531759359826,5
38,A3K5644Y,0 to 4 years enrolled,0.3848033963766118,0,has_any_financial_aid=1,0.06720418770094208,1
38,A3K5644Y,0 to 4 years enrolled,0.3848033963766118,0,GPA_last_3_sem > 3.27,0.052080249807723585,2
38,A3K5644Y,0 to 4 years enrolled,0.3848033963766118,0,IR_total_fa_awd_amt_sum > 0.00,0.050808503832843625,3
38,A3K5644Y,0 to 4 years enrolled,0.3848033963766118,0,0.86 < course_pass_rate <= 0.95,0.036451699229894705,4
38,A3K5644Y,0 to 4 years enrolled,0.3848033963766118,0,GPA_semester_stdev <= 0.39,0.03485049007428668,5
39,OGQZ81I4,6+ years enrolled,0.9888298666924367,1,years_enrolled > 3.42,0.5593305275931548,1
39,OGQZ81I4,6+ years enrolled,0.9888298666924367,1,is_justice_academy=0,0.07595576251187187,2
39,OGQZ81I4,6+ years enrolled,0.9888298666924367,1,has_associates_degree=0,0.07307233549396148,3
39,OGQZ81I4,6+ years enrolled,0.9888298666924367,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.03049487499627382,4
39,OGQZ81I4,6+ years enrolled,0.9888298666924367,1,GPA_last_sem > 3.33,-0.036299694359634614,5
40,REF9ZM83,0 to 4 years enrolled,0.6257852676181362,1,course_pass_rate <= 0.75,0.16299420525646086,1
40,REF9ZM83,0 to 4 years enrolled,0.6257852676181362,1,has_associates_degree=0,0.07949752868067549,2
40,REF9ZM83,0 to 4 years enrolled,0.6257852676181362,1,2.42 < years_enrolled <= 3.42,0.06569708928310038,3
40,REF9ZM83,0 to 4 years enrolled,0.6257852676181362,1,is_justice_academy=0,0.05804847858569678,4
40,REF9ZM83,0 to 4 years enrolled,0.6257852676181362,1,64.00 < total_hours_enrolled <= 78.00,0.03502760011424,5
41,UXCIOSE9,6+ years enrolled,0.9900198339276585,1,years_enrolled > 3.42,0.5627895032452691,1
41,UXCIOSE9,6+ years enrolled,0.9900198339276585,1,is_justice_academy=0,0.07231926631428579,2
41,UXCIOSE9,6+ years enrolled,0.9900198339276585,1,has_associates_degree=0,0.06996270246446368,3
41,UXCIOSE9,6+ years enrolled,0.9900198339276585,1,0.75 < course_pass_rate <= 0.86,-0.023717277285279583,4
41,UXCIOSE9,6+ years enrolled,0.9900198339276585,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.024334480845389576,5
42,X278WJ15,4 to 6 years enrolled,0.989457640151337,1,years_enrolled > 3.42,0.5658996741660569,1
42,X278WJ15,4 to 6 years enrolled,0.989457640151337,1,is_justice_academy=0,0.09032639151741707,2
42,X278WJ15,4 to 6 years enrolled,0.989457640151337,1,has_associates_degree=0,0.07719793641404124,3
42,X278WJ15,4 to 6 years enrolled,0.989457640151337,1,64.00 < total_hours_enrolled <= 78.00,0.024830616538326918,4
42,X278WJ15,4 to 6 years enrolled,0.989457640151337,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.027324388363667042,5
43,0TRGOGFC,4 to 6 years enrolled,0.9932345810561447,1,years_enrolled > 3.42,0.5672476975235776,1
43,0TRGOGFC,4 to 6 years enrolled,0.9932345810561447,1,is_justice_academy=0,0.07776954446374662,2
43,0TRGOGFC,4 to 6 years enrolled,0.9932345810561447,1,has_associates_degree=0,0.07214602373153176,3
43,0TRGOGFC,4 to 6 years enrolled,0.9932345810561447,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.024077854851548067,4
43,0TRGOGFC,4 to 6 years enrolled,0.9932345810561447,1,GPA_semester_stdev <= 0.39,-0.03455275781678357,5
44,8V654K7G,4 to 6 years enrolled,0.9931689853912563,1,years_enrolled > 3.42,0.5556811996566116,1
44,8V654K7G,4 to 6 years enrolled,0.9931689853912563,1,course_pass_rate <= 0.75,0.1513262210799207,2
44,8V654K7G,4 to 6 years enrolled,0.9931689853912563,1,is_justice_academy=0,0.08262832571770612,3
44,8V654K7G,4 to 6 years enrolled,0.9931689853912563,1,has_associates_degree=0,0.07223467822174302,4
44,8V654K7G,4 to 6 years enrolled,0.9931689853912563,1,GPA_semester_stdev <= 0.39,-0.02899847747344669,5
45,CAKOATA0,0 to 4 years enrolled,0.9060989136033716,1,years_enrolled > 3.42,0.5587864501430865,1
45,CAKOATA0,0 to 4 years enrolled,0.9060989136033716,1,has_associates_degree=0,0.07905427933626866,2
45,CAKOATA0,0 to 4 years enrolled,0.9060989136033716,1,is_justice_academy=0,0.07139450759880824,3
45,CAKOATA0,0 to 4 years enrolled,0.9060989136033716,1,GPA_semester_stdev <= 0.39,-0.027373285614199033,4
45,CAKOATA0,0 to 4 years enrolled,0.9060989136033716,1,IR_total_grants_nb_awd_amt_sum > 0.00,-0.02858990610171469,5
46,GCEBER9H,6+ years enrolled,0.992951030156924,1,years_enrolled > 3.42,0.5628723980190137,1
46,GCEBER9H,6+ years enrolled,0.992951030156924,1,course_pass_rate <= 0.75,0.15569695660962962,2
46,GCEBER9H,6+ years enrolled,0.992951030156924,1,is_justice_academy=0,0.08122590280443512,3
46,GCEBER9H,6+ years enrolled,0.992951030156924,1,has_associates_degree=0,0.07727678844535288,4
46,GCEBER9H,6+ years enrolled,0.992951030156924,1,GPA_semester_stdev <= 0.39,-0.02952061410951412,5
47,SFAI04IP,4 to 6 years enrolled,0.9909869508476808,1,years_enrolled > 3.42,0.5570244564972404,1
47,SFAI04IP,4 to 6 years enrolled,0.9909869508476808,1,GPA_last_3_sem <= 2.29,0.10261726075005567,2
47,SFAI04IP,4 to 6 years enrolled,0.9909869508476808,1,has_associates_degree=0,0.07934094423305922,3
47,SFAI04IP,4 to 6 years enrolled,0.9909869508476808,1,is_justice_academy=0,0.07396076637542785,4
