UNIQUE_ID,Term,College ID,Age,CAS CAA English SUM 1,CAS CAA Foreign Language 1 SUM 1,CAS CAA Foreign Language 2 SUM 1,CAS CAA Math SUM 1,CAS CAA Performing Arts SUM 1,CAS CAA Science SUM 1,CAS CAA Social Studies SUM 1,CAS College Admissions Avg (CAA) SUM 1,CAS HS  Units English SUM 1,CAS HS Units Foreign Language 1 SUM 1,CAS HS Units Foreign Language 2 SUM 1,CAS HS Units Math SUM 1,CAS HS Units Performing Arts SUM 1,CAS HS Units Science SUM 1,CAS HS Units Social Studies SUM 1,CAS HS Units Total SUM 1,CAS Regents American History,CAS Regents Biology,CAS Regents Chemistry,CAS Regents Common Core Alg1,CAS Regents Common Core Alg2,CAS Regents Common Core Geometry,CAS Regents Earth Science,CAS Regents English,CAS Regents English New,CAS Regents Geometry,CAS Regents Global History,CAS Regents Integ Alg,CAS Regents Marine Science,CAS Regents Math A,CAS Regents Math B,CAS Regents Math Sequential 1,CAS Regents Math Sequential 2,CAS Regents Math Sequential 3,CAS Regents Physics,CAS Regents Trigonometry,CAS SAT Math,CAS SAT Total,CAS SAT Verbal,CAS SAT Writing,CS Total Income Amt SUM,College Program Title,Credits Cumulative Earned Local Perf,Credits Cumulative Earned Local Show,Credits Cumulative Earned Other Perf,Credits Cumulative Earned Other Show,Credits Cumulative Earned Total Perf,Credits Cumulative Earned Total Show,Credits Cumulative Earned Transfer Perf,Credits Cumulative Earned Transfer Show,Credits Semester Included in GPA Perf SUM,Credits+Hours Semester All Courses Show SUM,Credits+Hours Semester Completed Perf SUM,Credits+Hours Semester Passed Perf SUM,Cs Fed Efc Amt SUM,Cs Fed Need Base Aid Amt SUM,Cs Fed Unmet Need Amt SUM,Degree Earned Level Desc,Degree Pursued Level Desc,Ethnicity Imputed Group 2 Desc,Exit Math CUNY Test Final Score,Exit Reading CUNY Test Final Score,Exit Writing CUNY Test Final Score,File Name,Full Part Type Desc,GPA Cumulative Perf,GPA Cumulative Show,GPA Semester Perf,Gender Desc,Headcount SUM,Headcount SUM 1,IR Total FA Awd Amt SUM,Initial All SKAT Passed Desc,Initial Math CUNY Test Final Score,Initial Reading ACT Test Final Score,Initial Writing CUNY Test Final Score,Ir Fed Work Study Nb Awd Amt SUM,Ir Student Loans Nb Awd Amt SUM,Ir Total Grants Nb Awd Amt SUM,Major 1 College Program Title,Major 1 NYSED Award 1 Desc,Major 1 NYSED Award 2 Desc,Major 1 NYSED Program Title,NYSED Award Desc,NYSED Program Title,New Student Desc,PELL_AMT_AWD,Pell Flag,SEEK CD Desc,Semester Enrolled Desc,Semester Graduated Desc,TAP Flag,TAP_AMT_AWD,Value Points Semester Perf SUM,Year Enrolled,Year Graduated
540902142131,2011-12-24,1558,26,98.0,2.0,,,,,,74.0,2.0,,,,2.0,4.0,4.0,1.0,,66.0,,,,52.0,,70.0,74.0,52.0,86.0,61.0,,,71.0,,71.0,81.0,,,,,,324.0,33477,STUDIO ART BA,0.62,1.09,1.37,0.16,2.92,3.59,0.8,3.17,3.91,57.0,52.0,52.0,1069,3247,136,,Associate,"White, Non-Hispanic",74,30,7,husband.wav,PART-TIME,2.21,2.86,2.51,Female,1,3,6327,Exempt/Passed All,10,20,98,598,7849,6206,MANAGEMENT,AS,,DIGITAL DESIGN AND ANIMATION,BBA,EDUCATION STUDIES,Yes,2114,No,SEEK,Part-Time,Not Graduated,No,2812,1.03,2013,
262284676945,2011-12-24,7106,23,,51.0,37.0,72.0,,16.0,67.0,97.0,,,,,4.0,,,1.0,,,84.0,67.0,,,,87.0,24.0,,,,,79.0,,,1.0,37.0,24.0,,,1330.0,,,46860,BROADCASTING TECH &,3.96,0.31,3.1,2.13,0.74,0.87,1.27,0.26,1.38,,,,2785,2712,461,,Associate,Hispanic,90,8,24,today.txt,FULL-TIME,2.08,2.64,3.38,Other,5,1,1863,Exempt/Passed All,61,33,21,640,15535,10839,SCIENCE FOR FORENSI,AAS,,GEOLOGY,BE,LIBERAL ARTS AND SCIENCE,Yes,1772,Yes,CD Bilingual,Part-Time,Not Graduated,Yes,4503,0.26,2016,
771869354449,2011-12-24,8147,28,24.0,10.0,,,68.0,,,,3.0,3.0,1.0,,4.0,,3.0,,,,30.0,53.0,91.0,,,,,,76.0,97.0,24.0,8.0,,,,100.0,,29.0,,,,300.0,39030,PARALEGAL STUDIES,3.92,2.86,2.69,1.9,1.63,0.5,0.29,1.32,3.34,71.0,60.0,,4773,1395,604,,Bachelor's,"Black, Non-Hispanic",18,87,27,president.avi,PART-TIME,2.04,3.79,2.71,Male,2,1,3798,Exempt/Passed All,78,26,95,517,9980,1170,UNDECLARED U,B ARCH,,AFRICAN AMERICAN STUDIES,BFA,COMPUTER PROGRAMMING,No,1829,No,,Full-Time,Not Graduated,No,3669,0.86,2020,
973182673065,2011-12-24,4635,26,46.0,,61.0,,11.0,29.0,51.0,,,,,,1.0,4.0,,,48.0,,,9.0,,,,43.0,,,,43.0,68.0,,61.0,,33.0,36.0,,63.0,703.0,1427.0,,770.0,12078,ED ASSOC:BIL CHILD,2.75,0.43,1.58,2.05,2.52,0.32,1.26,3.0,3.02,,79.0,,4759,1230,1009,,Bachelor's,Hispanic,92,98,20,guess.jpg,FULL-TIME,2.86,3.17,2.03,Female,5,4,4206,Exempt/Passed All,76,5,31,1462,382,11955,FOR SCI: MOLECU BIO,BFA,MS,BLACK AND PUERTO RICAN STUDIES,BSED,ACCOUNTING FOR FORENSICS,No,1124,Yes,SEEK,Full-Time,Not Graduated,No,3971,3.76,2016,
946042923508,2011-12-24,8074,22,,,19.0,31.0,20.0,,84.0,,4.0,,,3.0,,3.0,1.0,,12.0,,37.0,74.0,,,,88.0,13.0,,17.0,,,12.0,,52.0,45.0,,,,,970.0,692.0,,17197,NURSING,2.67,2.81,3.37,0.35,3.7,1.47,3.19,0.63,0.8,,43.0,,4783,1028,1866,,Bachelor's,Other,74,22,28,building.csv,PART-TIME,3.49,3.05,2.09,Other,5,3,1983,Not Exempt/Passed All,32,23,87,1132,5927,17158,ROM LANG FR IT SP B,BBA,AAS,DIGITAL ART AND DESIGN,BA,DISABILITY STUDIES,Yes,2971,No,CD Prong I,Full-Time,Not Graduated,Yes,1109,3.0,2019,
757271269790,2011-12-24,6940,27,,73.0,31.0,78.0,1.0,95.0,,,4.0,,,2.0,,1.0,,1.0,,81.0,25.0,,,,,16.0,75.0,43.0,32.0,21.0,86.0,57.0,,70.0,75.0,60.0,,20.0,,1389.0,,,11618,EMERGENCY MED TECH/,2.79,2.32,3.57,2.32,0.62,0.98,0.72,2.03,1.84,,,,1932,4882,1592,,Associate,"Black, Non-Hispanic",1,1,82,quickly.jpeg,PART-TIME,3.26,2.56,3.03,Female,4,3,7721,Exempt/Passed All,9,13,53,1391,19982,15422,PHYS EDUC  EXER SCI,BS NURS,UNKNOWN,SPECIAL EDUCATION AND CHILDHOOD,BFA,PROGRAMMING AND SYSTEMS,Yes,1727,Yes,Regular,Part-Time,Graduated,Yes,3828,1.5,2014,
193087699081,2011-12-24,9002,25,,84.0,,81.0,65.0,,,4.0,,2.0,2.0,4.0,,3.0,,,77.0,,60.0,,5.0,,,11.0,,48.0,,52.0,2.0,,50.0,57.0,,30.0,,96.0,425.0,,,335.0,13183,JOURNALISM & PRINT,3.34,0.78,1.84,1.38,3.22,2.55,0.51,2.82,3.21,58.0,,42.0,2409,4645,447,,Associate,Asian,36,37,55,theory.txt,PART-TIME,2.68,3.45,3.69,Other,5,4,1477,Not Exempt/Passed All,90,0,38,1235,8930,11807,HUMAN SERVICES AAS,UNKNOWN,MA,FRENCH,BS,MEDICAL OFFICE ASSISTANT,No,2518,No,Regular,Part-Time,Not Graduated,No,3476,3.11,2014,
400637109003,2011-12-24,7190,20,24.0,71.0,,,36.0,18.0,7.0,,3.0,,,1.0,,,,,89.0,34.0,35.0,19.0,76.0,55.0,,,44.0,97.0,90.0,68.0,34.0,,,21.0,,87.0,91.0,,,621.0,469.0,,34467,HISTORY (BA),3.85,3.43,1.99,2.55,0.22,1.45,0.33,1.94,1.09,81.0,,,4501,4281,175,,Associate,"White, Non-Hispanic",28,60,11,program.tiff,FULL-TIME,3.32,3.11,3.44,Female,1,2,1609,Not Exempt/Passed All,44,23,51,1412,7141,7876,CHEMISTRY (BS-CLAS),AAS,UNKNOWN,FIRE SCIENCE,BA,EDUCATION ASSOCIATE,Yes,4881,No,CD Prong I,Part-Time,Graduated,No,3015,1.93,2016,
74847341518,2011-12-24,7777,21,59.0,,,40.0,50.0,,,17.0,,,,,,1.0,,4.0,100.0,21.0,41.0,38.0,67.0,,,76.0,26.0,60.0,,,57.0,82.0,90.0,30.0,,45.0,96.0,,,697.0,470.0,,23509,MEDICAL OFFICE ASSS,0.44,0.09,3.0,1.89,2.98,3.75,3.37,3.93,1.58,,56.0,65.0,4305,2110,1078,,Associate,"White, Non-Hispanic",0,42,9,detail.mov,FULL-TIME,3.86,2.7,3.83,Male,5,2,4118,Not Exempt/Passed All,7,29,23,1576,11203,11110,MATHEMATICS BS,B ARCH,MPA,EARTH SCIENCE 7-12,BPS,FIRE AND EMERGENCY SERVICE,Yes,3455,Yes,,Part-Time,Not Graduated,No,3125,3.81,2012,
921976896099,2011-12-24,6688,25,80.0,65.0,54.0,69.0,69.0,61.0,,,,,4.0,1.0,,4.0,,3.0,56.0,42.0,,,,,5.0,77.0,57.0,6.0,59.0,,,,26.0,,,,11.0,,,647.0,442.0,,11284,JOURNALISM (BA),2.7,3.0,0.66,2.53,2.49,2.37,2.27,2.6,3.59,78.0,83.0,80.0,2504,2769,1153,,Associate,"White, Non-Hispanic",92,3,91,newspaper.flac,PART-TIME,3.38,3.89,3.99,Female,2,1,5561,Not Exempt/Passed All,69,12,92,1672,13436,1654,SCI LET & SOCIETY,B TECH,AAS,CRIMINAL JUSTIC,B TECH,LIBARAL ARTS,Yes,4621,Yes,,Part-Time,Graduated,No,2308,0.56,2015,
118438713332,2011-12-24,5718,19,84.0,64.0,,43.0,24.0,10.0,76.0,16.0,1.0,,4.0,,,,3.0,3.0,,66.0,37.0,,,,72.0,,94.0,,,,94.0,26.0,,21.0,,,69.0,20.0,230.0,,,,34665,MEDICAL OFFICE ASSS,3.74,1.48,1.27,1.7,3.58,1.63,0.72,3.82,1.66,,67.0,,3850,3610,920,,Bachelor's,Asian,7,89,13,rest.avi,FULL-TIME,2.09,2.65,3.92,Female,2,5,9364,Not Exempt/Passed All,68,28,8,230,16920,7793,OPHTHALMIC DISPENSI,AAS,AAS,DESIGN,BBA,POLITICAL SCIENCE AND GOV SOCIAL STUDIES,No,3422,No,SEEK,Part-Time,Graduated,No,3738,0.25,2013,
105424213889,2011-12-24,8859,24,,,40.0,,86.0,25.0,92.0,76.0,2.0,2.0,3.0,,,,,3.0,51.0,96.0,77.0,,,,82.0,,,77.0,81.0,20.0,,,24.0,90.0,,29.0,44.0,,,,436.0,,49219,ACCOUNTING BS,3.57,3.22,2.66,3.59,3.62,2.44,1.8,1.8,2.53,,77.0,40.0,1716,4578,1305,,Associate,"White, Non-Hispanic",24,73,95,risk.webm,FULL-TIME,2.36,2.77,2.15,Male,2,4,3979,Exempt/Passed All,0,28,43,605,11581,13985,ANIMATION & MOTION,BSW,AAS,COMPUTER AIDED DRAFTING AND DESIGN TECH,,CREATIVE WRITING,Yes,4130,Yes,CD Bilingual,Part-Time,Graduated,Yes,4694,1.65,2010,
678560654755,2011-12-24,8323,29,,59.0,,74.0,,79.0,,93.0,,4.0,,,4.0,,,1.0,18.0,77.0,,61.0,38.0,,63.0,46.0,,33.0,56.0,,,,,,,7.0,,20.0,,1130.0,,269.0,47245,TRAVL TOUR & HOSPTL,1.61,2.24,0.63,1.73,2.08,0.62,0.82,1.85,2.81,48.0,,46.0,3643,3256,1145,,Associate,Hispanic,79,34,10,close.numbers,FULL-TIME,3.92,2.63,3.62,Other,2,5,9138,Exempt/Passed All,43,3,38,1650,16236,8690,PHYS EDUC  EXER SCI,BSED,MS,COMPUTER SYSTEMS,,BUSINESS ADMIN: INTERNATIONAL BUS,No,4454,Yes,,Part-Time,Not Graduated,No,2180,0.12,2012,
226140108715,2011-12-24,4138,26,,,,66.0,7.0,76.0,,11.0,3.0,,2.0,,,,,,,70.0,,38.0,62.0,41.0,,20.0,78.0,97.0,,74.0,,,,,80.0,91.0,73.0,,,1367.0,,,29347,PUB ADMIN CONC. G B,0.37,3.91,1.5,3.81,1.26,2.9,0.89,1.86,1.4,,,,1668,2954,992,,Bachelor's,Hispanic,58,46,22,moment.flac,PART-TIME,3.29,3.16,3.88,Male,3,1,7868,Not Exempt/Passed All,70,25,33,219,11372,10777,SOCIAL WORK BS,B ARCH,UNKNOWN,ENVIRONMENTAL CONTROL TECHNOLOGY,BFA,SECRETARIAL SCIENCE--MEDICAL,No,1400,Yes,CD Bilingual,Full-Time,Graduated,No,2150,1.77,2018,
452772309239,2011-12-24,5216,20,,,91.0,84.0,,61.0,,,2.0,,2.0,,3.0,,3.0,3.0,,,82.0,41.0,18.0,20.0,,,98.0,49.0,27.0,,27.0,36.0,,,60.0,54.0,,,398.0,1533.0,,205.0,18293,BUS ADMIN MNGMT OPT,0.14,0.38,3.55,3.41,1.23,0.64,2.03,3.48,2.26,67.0,27.0,37.0,4877,1917,219,,Associate,Hispanic,24,21,88,bag.webm,PART-TIME,3.53,2.59,2.36,Other,3,3,9799,Exempt/Passed All,1,17,88,1475,13155,9671,PENDING APPRVL - ED,BSW,AAS,COMPUTER INFO SYS-CRIMINAL JUST&PUB ADMN,BPS,MEDICAL LAB SCI - CLINICAL SCI,No,4206,No,CD Bilingual,Full-Time,Graduated,No,2260,2.43,2010,
277523608988,2011-12-24,1261,27,83.0,,,73.0,14.0,25.0,77.0,71.0,3.0,,4.0,,3.0,3.0,,2.0,43.0,46.0,,53.0,,,43.0,32.0,,9.0,61.0,31.0,,,55.0,,85.0,58.0,65.0,96.0,,1544.0,,258.0,46855,ENVIRONMENTAL CNTRL,2.64,2.35,1.04,2.62,1.74,1.44,3.77,1.99,3.22,,,36.0,3302,2312,1576,,Associate,"White, Non-Hispanic",5,20,79,south.html,PART-TIME,3.49,3.99,3.28,Female,5,5,1338,Not Exempt/Passed All,12,17,68,1085,17618,13994,HLTH/NUTR (BA),BS,MS,RADIOLOGICAL SCIENCE,BPS,RELIGION,No,1115,Yes,CD Bilingual,Part-Time,Not Graduated,Yes,3959,2.57,2018,
967648924491,2011-12-24,2199,21,,3.0,,,44.0,4.0,,,,,,,2.0,3.0,2.0,2.0,,,92.0,,18.0,98.0,,82.0,,,72.0,84.0,,,92.0,20.0,75.0,43.0,55.0,,,,406.0,659.0,23889,THEATRE ARTS AS,0.75,1.3,3.13,0.03,0.11,3.17,0.93,0.6,1.01,90.0,66.0,98.0,3072,2745,688,,Associate,Other,77,52,25,follow.avi,FULL-TIME,2.56,3.51,2.04,Other,5,2,1560,Exempt/Passed All,92,3,45,138,17182,340,SPANISH/ED 7-12,BBA,MPA,CHILDHOOD EDU (GRADES 1-6),BPS,COMMUNICATION,Yes,4882,No,Regular,Full-Time,Graduated,No,3732,1.67,2014,
81945059775,2011-12-24,2431,22,,14.0,,52.0,52.0,29.0,,47.0,,,,3.0,,,1.0,3.0,96.0,,,48.0,39.0,,,,,41.0,73.0,67.0,,64.0,23.0,,,35.0,89.0,41.0,,1316.0,,,31980,COMPUTER NETWORK TE,3.98,0.91,3.84,2.12,0.86,2.14,2.59,2.65,3.11,,,36.0,2100,2384,1888,,Associate,"Black, Non-Hispanic",15,41,25,exist.txt,PART-TIME,3.4,3.55,2.89,Other,2,1,5546,Exempt/Passed All,22,3,4,954,18090,7455,COMPUTER SCIENCE (B,UNKNOWN,MS,PRE-LAW,BA,SURGICAL TECHNOLOGY,No,1377,No,CD Bilingual,Part-Time,Graduated,No,1502,2.1,2014,
297245487219,2011-12-24,2861,22,,94.0,75.0,31.0,,,,,,,,4.0,3.0,,,4.0,21.0,,90.0,71.0,,66.0,79.0,,32.0,83.0,6.0,36.0,,,,,,,,7.0,,1150.0,,,46093,COMPUTER INFO SYSTE,2.84,2.82,1.51,3.88,0.23,1.91,1.03,2.87,3.56,64.0,,99.0,4645,4855,183,,Bachelor's,Hispanic,18,100,97,consumer.webm,PART-TIME,2.63,2.31,3.7,Male,2,4,6060,Exempt/Passed All,96,23,83,786,7475,14895,NURSING QCC BS,B TECH,AAS,CRIMINOLOGY,B TECH,MUSIC,Yes,2829,No,CD Prong I,Part-Time,Graduated,No,2742,0.37,2020,
947564059370,2011-12-24,6098,24,82.0,32.0,,,,69.0,55.0,,4.0,,4.0,,2.0,,4.0,,,14.0,4.0,24.0,89.0,,,,7.0,,,73.0,27.0,,1.0,,59.0,,54.0,56.0,468.0,1511.0,,,28400,OFFICE ADMINIST & T,0.72,2.06,2.54,0.15,2.14,1.86,1.04,0.26,1.51,,46.0,63.0,4592,1517,652,,Bachelor's,Other,99,62,12,during.mp3,FULL-TIME,2.55,3.9,2.78,Male,4,3,1287,Exempt/Passed All,92,1,13,244,17379,14303,AFRICANA/PR/LATINO,BSW,MA,ENGINEERING SCIENCE,UNKNOWN,CHILDHOOD EDUCATION,Yes,1877,No,Regular,Full-Time,Graduated,Yes,3522,1.67,2012,
